chapter,text
11,"და მიერითგან განითქუა ყოველსა ქართლსა საქმჱ მისი. და მოვიდოდეს მამანი და დედანი აღნათქუემთა შეწირვად და, რაჲ ვის უჴმდა, მიემადლებოდა წმიდითა ლოცვითა ნეტარისა შუშანიკისითა, რომელსა მოსცემდა მას კაცთ-მოყუარე ღმერთი: უშვილოთა შვილი, სნეულთა კურნებაჲ, ბრმათა თუალთა ა[ღ]ხილვაჲ.

იყო ვინმე დედაკაცი ერთი სპარსი მოგჳ, რომელსა განბორებისა სალმობაჲ აქუნდა. და მოვიდა იგი წმიდისა შუშანიკისა. ხოლო იგი ასწავებდა მას, რაჲთამცა დაუტევა მოგობაჲ იგი და იქმნა იგი ქრისტიანე. ხოლო დედაკაცმან მან თავს-იდვა ადრე-ადრე. და იგი ასწავებდა დედაკაცსა მას და ეტყოდა, ვითარმედ „მივედ იერუსალჱმდ და განსწმიდნე განბორებისა მაგისგან შენისა“. და მან გულსმოდგინედ შეიწყნარა და წარემართა გზასა მას სახელითა ღმრთისა ჩუენისა იესუ ქრისტჱსითა და განიკურნა იგი სალმობისა მისგან. და ვითარ გარემოიქცა იგი სიხარულითა დიდითა და მოიწია მუნვე, მოვიდა იგი წმიდისა შუშანიკისა მადლისა გარდაჴდად და წარვიდა სახიდ თჳსა სიხარულით განმრთელებული."
12,"ხოლო წმიდამან შუშანიკ ნაცვლად ჭიჭნაუხტისა საქმისა დიდითა გულსმოდგინებითა ჴელთა აღიხუნა დავითნი და მცირედთა დღეთა შემდგომად ასერგასისნი იგი ფსალმუნნი დაისწავლნა, რომლითა იგი დღჱ და ღამჱ ზესკნელისა მის მეუფისა მიმართ სათნოსა მას გალობასა შესწირვიდა ცრემლით.

და უთხრეს ნეტარსა შუშანიკს, ვითარმედ „შვილნი იგი შენნი მიაქცინა მოგობასა“. მაშინ იწყო თაყუანის-ცემად ღმრთისა მიმართ ტირილითა დიდითა და თავსა თჳსსა ქუე დამართ სცემდა. სულთ–ითქუნა და თქუა: „გმადლობ შენ, უფალო ღმერთო ჩემო, რამეთუ იყვნეს-ვე არა ჩემნი, არამედ შენნი მოცემულნი იყვნეს. ვითარცა გნებავს, იყავნ ნებაჲ შენი, უფალო, და მე დამიცევ საქმეთაგან მტერისათა“.

და მე მივედ და ვიხილე წმიდაჲ შუშანიკ დამშრშალი და დაბუშებული ტირილითა. და რამთუ მოეძღუანა წმიდასა მას ეპისკოპოსსა საზრდელი და ვითარ ფრიად ვაიძულე, მცირედ ოდენ გემოჲ იხილა და ვჰმადლობდით ღმერთსა. და ვიდრე მუნ ჟამადმდე მოვიდიან შვილნი იგი მისნი ხილვად დედისა თჳსისა; ხოლო რაჟამს მიაქცინეს და უვარ-ყვეს ღმერთი, ვერღარა იკადრეს ხილვად მისა, არამედ სახელიცა მათი სძაგდა სმენად."
13,"და მერმე მოციქულნი მოავლინნა პიტიახშმან და ჰრქუა: „ანუ ნებაჲ ჩემი ყავ და მოვედ ტაძრად; უკუეთუ არა მოხვიდე შინა, ჩორდ წარგცე შენ ანუ კარად კარაულითა“. ხოლო წმიდამან შუშანიკ მიჰრქუა ესრეთ: „უბადოო და უგულისჴმოო, ხოლო მე თუ კარად ანუ ჩორდ წარმცე, ვინ უწყის, თუ მუნ კეთილსა რასმე შევემთხჳო და ბოროტსა ამას განვერე“. და გულსა ეტყოდა პიტიახში იგი სიტყუათა მათთჳს, ვითარ-იგი ჰრქუა მას, ვითარმედ „ვინ უწყის, თუ კეთილსა რასმე მივემთხჳო“, ვითარმედ „ნუუკუე მთავართაგანსა ვისმე ეცოლოს“. და მიერითგან არღარავინ მიავლინა მისა. ხოლო წმიდაჲ შუშანიკ ბოროტთა მათ გუემათა და თმენათათჳს იტყოდა, რაჲთამცა სათნო-ეყო ღმერთსა.

ხოლო პიტიახშმან გამოარჩია ძუძუჲსმტჱ მისი საკუთარი, რაჲთა მოიყვანოს იგი ტაძრად. და ვითარცა ჰრქუა კაცმან მან: „ისმინე ჩემი და ჩამოვედ ტაძრად, და ნუ აოჴრებ სახლსა მას თქუენსა“, ჰრქუა მას წმიდამან შუშანიკ: „არქუ მას უღმრთოსა, ვითარმედ „შენ მომკალ და მარქუ მე: ცოცხალითა ფერჴითა არა გამოხვიდე შენ მაგიერ ციხით“. ხოლო აწ, უკუეთუ შემძლებელ ხარ მკუდარსა აღდგინებად, პირველად დედაჲ შენი აღადგინე, რომელი ურდს დამარხულ არს, გარნა თუ მისა ვერ შემძლებელ ხარ აღდგინებად, ვერცა ჩემდა შემძლებელ ხარ განყვანებად, გარნა თრევით გამითრიო“. და ვითარცა მიუთხრეს პიტიახშსა სიტყუაჲ იგი და მან თქუა: „ნანდჳლვე ვთქუ ეგე!“

და მეორესა დღესა შემო-ვინმე-ვიდა და ჰრქუა წმიდასა შუშანიკს: „კეთილად მიუგე მას სიტყუაჲ იგი, რამეთუ მაგით სახით ეგულვებოდა შეტყუვილი შენი და მას სხუაჲ ზრახვაჲ გულსა მოეჴადა სიბოროტისაჲ შენთჳს“. წმიდამან შუშანიკ ჰრქუა მას: „და შენ ღმერთი ძილსა შინა ნუ გგონიეს, რომელმან განუმზადნის სიტყუანი პირსა კაცისასა, რამეთუ იტყჳს თჳთ უფალი: „მე მიუგო სიტყუაჲ თქუენ წილ“."
14,"და ვითარცა აღივსებოდა მეექუსჱ იგი წელი საპყრობილესა მას შინა, ჯეკმა დამაშურალობითა შრომათა მათ შინა სიმჴნისა მისისაჲთა სენი სნეულებისაჲ მოიწია მის ზედა, რომელსა-იგი წინაჲსწარ უღაღადებდი და ვეტყოდე, ვითარმედ „ნუ ჯეკმა, რამეთუ დაუმძიმებ ჴორცთა მაგათ ზედა, რამეთუ ვერ დაგითმონ და მერმე ვერღარას შემძლებელ იყო ყოფად რაჲსმე საქმედ კეთილსა ეგოდენითა მაგით ფიცხლად მარხვითა და მარადის ზედგომითა და ღამე ყოველ დაშრომითა, ფსალმუნებითა და გალობითა“. და არცაღა მცირედ სადა სცა ჴორცთა მისთა განსუენებაჲ, და შეიქმნა და დადნა ვითარცა ავლი.

ხოლო დიდთა მათ მარხვათა აღვსებისათა ერგასისთა მათ დღეთა, ექუსთა წელთა შინა არცა დღისი, არცა ღამჱ არა დაჯდის ქუე, არცა დაიძინის, არცა საჭმელი რაჲ მიიღის, გარნა დღესა ხოლო კჳრიაკესა ეზიარის ჴორცსა და სისხლსა ქრისტჱს ღმრთისა ჩუენისასა; და მცირედ ოდენ წუენი მხალისა შექმნული - იგიცა მცირედ - მიიღის, ხოლო პურისა გემოჲ არა იხილის, ვიდრე აღვსებადმდე.

და მიერ დღითგან, ვინაჲთგან პყრობილ-ყვეს იგი ციხესა მას შინა, სასთაულსა ზედა თავი არა მიდვის, გარნა ალიზაკი ერთი დაიდვის სასთუნალ და ქუესაგებელად იყო გირჯაკი ერთი ძუელი და კაცთა თუალსა - სასთაულაკი ერთი ხალენისა უცნ სასთუნლით კერძო. და თაყუანის-საცემელად კილიკი ერთი მცირჱ ქუე წარუგდებიედ, და გრწყილი და ტილი მოუგონებელი ადგილსა მას დასხმულ იყო.

ჟამსა ზაფხულისასა ცეცხლებრ შემწუელი იგი მჴურვალებაჲ მზისაჲ, ქარნი ხორშაკნი და წყალნი მავნებელნი, რომლისა მკჳდრნიცა მის ადგილისანი სავსენი სენითა, წყლითა განსივებულნი და განყვითლებულნი, დაწერტილნი და დამშრშალნი და დამღიერებულნი, ჩარადოვანნი, პირ-მსივანნი და დღე-მოკლედ ცხორებულნი; და მოხუცებული არა ვინ არს მათ ქუეყანათა. და ესეთსა მას ციხესა შინა ექუს წელ პყრობილ იყო და მძიმეთა მათ საკრველთა შინა ადიდებდა ღმერთსა."
15,"და ვითარცა მეშჳდჱ წელი დადგებოდა, მოიწია წმიდისა და სამგზის სანატრელისა შუშანიკის ზედა წყლულებაჲცა ჴორცთა მისთაჲ და დაუცხრომელად შრომათა მათ გამო დაუსივდეს ფერჴნი მისნი და თხრამლი აღმოსდიოდა ადგილდ-ადგილდ. და წყლულებანი დიდ-დიდნი იყვნეს და მატლიცა დასხმულ იყო წყლულთა მათ, რომელ-იგი აღიღო ჴელითა თჳსითა და მიჩუენებდა მე და ჰმადლობდა ღმერთსა. და თქუა: „ხუცეს, ნუ მძიმე გიჩნ ესე, რამეთუ მუნ იგი მატლი უდიდჱს არს და არა მოკუდების“. და მე, ვითარცა ვიხილე მატლი იგი, მოუგონებელად დიდად მწუხარე ვიყავ და ვტიროდე ფრიად. მრქუა მე რისხვით: „ხუცეს, რად მწუხარე ხარ? ვიდრე უკუდავთა მათ მატლთა შეჭმასა, უმჯობჱს იყავნ ამათ მოკუდავთა შეჭმა აქავე ამას ცხორებასა“. და მე მიუგე და ვარქუ: „ძაძისა სამოსელი მცირედღა შეგერაცხაა საგუემელად? და აწ მატლთა მაგათთჳს მხიარულ ხარ!“. და მან მრქუა მე ქენებით: „ნუვის თანა იტყჳ ძაძისა სამოსლისათჳს ცხორებასა ჩემსა, რამეთუ ადრე ყოფად არს დატევებაჲ უბადრუკთა ამათ ჴორცთა ჩემთაჲ“. რამეთუ შინაგან ძაძაჲ ემოსა და არავინ იცოდა ჩემსა გარეშე, ხოლო გარეგან კაცთა თუალსა ანტიოქიისა პალეკარტი ემოსა."
16,"და ვითარცა ესმა ჯოჯიკს, ვითარმედ მიახლებულ არს ნეტარი დედოფალი წმიდაჲ შუშანიკ სიკუდილდ, წარვიდა და თანა წარიყვანნა ცოლი და შვილნი და მონა-მჴევალნი მისნი. და მივიდა ციხედ ხილვად სანატრელისა შუშანიკ მარტჳლისა. და ვითარცა მიიწია, მძლავრ შე-ხოლო-ვიდა და თაყუანის-სცა პატიოსანსა ჯუარსა და მოიკითხა წმიდაჲ შუშანიკ, თან-დაუჯდა და ჰკითხვიდა სალმობათა მათთჳს. ხოლო წმიდამან მან ჰრქუა: „კეთილ ვარ, ვითარ ღმერთსა უნებს, არამედ ყოველთა წარსავალსა მას გზასა მეც წარვალ“.

ხოლო ჯოჯიკ მსწრაფლ აღდგა ზე, პირველთა მათ უწესოთა საქმეთა აღუარებდა და ევედრებოდა წმიდასა შუშანიკს და ეტყოდა: „სძალო და მჴევალო ქრისტჱსო, ითხოვე ღმრთისაგან, რაჲთა მომიტევნეს მე მრავალნი შეცოდებანი ჩემნი“. ხოლო წმიდამან შუშანიკ ჰრქუა მას: „თუ შენ სხუად სახედ ყრმებრ არარაჲ ჰქმნე, ღმერთმან მოგიტევნეს შენ“. და ჯოჯიკ ჰრქუა: „მაგის სახისათჳს მოვედ მე შენდა, რაჲთა, რომელი–იგი არა რაჲმე სათნო იყოს ღმრთისა, არა ვქმნე“. წმიდამან შუშანიკ ჰრქუა: „უკუეთუ ეგე ეგრეთ ჰყო შენ, უკუდავ მექმნე მე მაგით სიტყჳთა და ღმერთმან შესძინენ დღეთა ცხორებისა შენისათა“.

და მერმე, ვითარ შეატყუა ჯოჯიკ, ვითარმედ მას დღესა განვალეს წმიდაჲ იგი ჴორცთა ამათგან, ჰრქუა: „მაკურთხე მე და ცოლი ჩემი, მჴევალი შენი, და შვილნი ჩემნი და მონა-მჴევალნი ჩემნი, და, თუ რაჲმე შეგცოდეთ ვითარცა კაცთა საწუთროჲსათა და სოფლის მოყუარეთა, მოგჳტევენ და ნუ მოიჴსენებ მედგრობათა ჩემთა“. ხოლო წმიდამან შუშანიკ ჰრქუა ჯოჯიკს და ცოლსა მისსა: „ჰყავთ წარმდებად საქმჱ ესე ჩემი, რამეთუ არავინ იპოვა კაცთაგანი, რომელსამცა აქუნდა წყალობაჲ და ტკივილი ჩემთჳს, რომელმანმცა შეაჯერა უღმრთოსა მას საწუთროსა მეუღლესა“. ხოლო მათ ჰრქუეს: „ჩუენ თჳნიერ შენსა ფრიად დავშუერით. გარნა არა იყო სმენაჲ, არცა სიტყუაჲ“, მაშინ ჰრქუა წმიდამან შუშანიკ: „განვისაჯნეთ მე და ვარსქენ პიტიახში მუნ სადა-იგი არა არს თუალღებაჲ, წინაშე მსაჯულისა მის მსაჯულთაჲსა და მეუფისა მის მეუფეთაჲსა, სადა არა არს რჩევაჲ მამაკაცისა და დედაკაცისაჲ, სადა მე და მან სწორი სიტყუაჲ ვთქუათ წინაშე უფლისა ჩუენისა იესუ ქრისტჱსა; მიაგოს მას უფალმან, ვითარ მან უჟამოდ ნაყოფნი ჩემნი მოისთულნა და სანთელი ჩემი დაშრიტა და ყუავილი ჩემი დააჭნო, შუენიერებაჲ სიკეთისა ჩემისაჲ დააბნელა და დიდებაჲ ჩემი დაამდაბლა. და ღმერთმან საჯოს მის შორის და ჩემ შორის. ხოლო მე აწ ამას ვჰმადლობ ღმერთსა, რამეთუ ტანჯვითა მისითა მე ლხინებაჲ ვპოვო, და გუემათა და თრევათა მისთათჳს მე განსუენებასა მივემთხჳო, და უგულისჴმოებისა და უწყალოებისა მისისათჳს მე წყალობასა მოველი იესუ ქრისტჱს მიერ უფლისა ჩემისა“.

ხოლო იგინი ამას ყოველსა სიტყუასა მისსა ზედა ტიროდეს მწარედ და ჰრქუეს: „მოგჳტევენ ბრალნი ჩუენნი და გუაკურთხენ, წმიდაო მოწამეო და მარტჳლო სანატრელო ქრისტჱს ღმრთისაო“. ხოლო წმიდამან შუშანიკ ჰრქუა: „ღმერთმან მიგიტევენინ, რომელ–რაჲ-იგი ჰყავთ“. მაშინღა აკურთხნა ჯოჯიკ და ცოლი და შვილნი მისნი და მონა-მჴევალნი მისნი და ყოველი ეზოჲ და პალატი მისი. და ამცნებდა სლვად გზათა ღმრთისათა და ეტყოდა, ვითარმედ „ესე ყოველი ცხორებაჲ ვითარცა ყუავილი ველთაჲ წარმავალ არს და დაუდგრომელ, და ვინ სთესა - მოიმკო და ვინ განაბნია გლახაკთათჳს - შეიკრიბა, და რომელმან წარიწყმიდოს თავი თჳსი, მან პოოს იგი, რომელმან ადიდა იგი“. და უჯმნა და გამოგზავნნა იგინი მშჳდობით."
17,"მერმე, შემდგომად ჯოჯიკისა, მოიწია თავი იგი ეპისკოპოსთაჲ სამოელ და იოვანე ეპისკოპოსი, მისივე მოყუასი, რომელ-იგი იყვნეს განმამტკიცებელ და დიდად დამაშურალ, სახლეულითურთ თანაყოფით იყვნეს მონა, და მონაწილე იყვნეს და თანაზიარ შრომათა მისთა; მადლობით წარჰგზავნიდეს ნავთსადგურისა მის მიმართ ქრისტჱსისა. მსგავსად მისვე სახისა აზნაურნი დიდ-დიდნი და ზეპურნი დედანი, აზნაურნი და უაზნონი სოფლისა ქართლისანი მოვიდეს. ეგრეთვე, რომელნი-იგი გულს-მოდგინებით მონაწილე ყოფილ იყვნეს შრომათა მათ მისთა სანატრელობით, ვითარცა ახოვანსა მჴნესა მიჰვედრიდეს ქრისტესა.

და თხოვასა ერთსა ითხოვდეს მისგან ყოველნი იგი ეპისკოპოსნი და აზნაურნი ერთბამად, რაჲთა ბორკილი იგი ფერჴთაჲ ბრძანოს საცოდ და ნაკურთხევად ყოველთათჳს, რომლისათჳსცა ჰრქუა წმიდამან შუშანიკ, ვითარმედ „მე რაჲ ვარ, არა ღირსი ესე? ხოლო ღმრთის-მოყუარებისა თქუენისათჳს ხუცესმან აღივსენ წადილი თქუენი მაგის სახისათჳს. ხოლო მე რაჲმე-რაჲ შემძლებელ ვარ, არამედ ყოვლად-სავსემან ქრისტემან აღგავსენინ თქუენ ყოვლითა კეთილითა, რომელნი ესე ჩემთჳს მოშუერით და ეზიარენით ვნებათა ამათ ჩემთა და ჭირთა და ტანჯვათა. ხოლო მე, საყუარელნო, აჰა ესერა, წინაგანმზადებულსა მას გზასა წარვალ საუკუნესა. ჭირისა ამის წილ ჩემისა ქრისტემან მომმადლოს მე სიხარული, სატანჯველთა ამათ წილ განსუენებაჲ, გუემათა ამათ ჩემთა და თრევათა და შეურაცხებათა - მივემთხჳო მე დიდებასა და პატივსა ცათა შინა დაუსრულებელსა”. და იგინი ჯმნულნი, ცრემლითა სავსენი, ძლევისა მისთჳს დიდებას ღმრთისა მიმართ შესწირვიდეს და გამოვიდეს ციხით და წარვიდეს."
18,"და მოიწია დღჱ იგი წოდებისა მისისაჲ.და მოუწოდა ეპისკოპოსსა მისისა სახლისასა აფოცს და მადლსა მისცემდა მისა მიმართ მოწლებისა მისისათჳს ვითარცა მამასა და მამამძუძესა. შემვედრა მე, კაცი ცოდვილი და გლახაკი ესე და შეჰვედრებდა ნეშტთა მათ ძუალთა მისთასა და უბრძანებდა დასხმად ადგილსა მას. ვინაჲცა-იგი პირველად გამოითრიეს და ეტყოდა: „უკუეთუ ღირს რჲმე ვარ უკუანაჲსკნელი ესე მეათერთმეტჱ მოქმედი ვენაჴისაჲ, იყვენით ყოველნი კურთხეულ უკუნისამდე ჟამთა“.

და ჰმადლობდა ღმერთსა და თქუა: „კურთხეულ არს უფალი ღმერთი ჩემი, რამეთუ მშჳდობით მას ზედა დავწევ და დავიძინე“. და შეჰვედრა სული თჳსი უფალსა ყოველთა შემწყნარებელსა."
19,"და მაშინღა ადრე–ადრე მოიღო სანატრელმან მან ეპისკოპოსმან იოვანე შესაგრაგნელად სუდარი წმიდაჲ წმიდათა მათ და პატიოსანთა ნაწილთა მისთაჲ და ეგრეთ სხუათა მათ აღვიღეთ გუამი იგი ფრიად დამაშურალი და დაჭმული მატლთა, და განვბანეთ იგი მატლისა მისგან მიწოვანისა და თხრამლისაგან, და შევჰმოსეთ მჩურითა მით.

და მაშინღა ეპისკოპოსთა მათ ორთავე. იოვანე და აფოც, ვითარცა ჴართა მჴნეთა დაუღლვილთა ზესკნელისა მის ფასისათა, ყოვლით კრებულითურთ ფსალმუნითა სულიერითა და კეროვნითა აღნთებულითა და საკუმეველითა სულნელითა აღვიხუენით პატიოსანნი ძუალნი და გამოვიხუენით წმიდასა მას ეკლესიასა. და დავჰკრძალენით წმიდანი იგი და დიდებულნი და პატივცემულნი ნაწილნი წმიდისა შუშანიკისნი განმზადებულსა მას ადგილსა. და მას ღამესა ანგელოზთა სახედ ღამჱ იგი განვათიეთ და დავითის ქნარითა მით ყოვლად ძლიერსა ღმერთსა და ძესა მისსა უფალსა ჩუენსა იესუ ქრისტესა ვადიდებდით, რომელი ყოვლითა ყოველთა მიმართ შემძლებელ არს და განაქველნის მამანიცა და დედანიცა და თჳსთა მათ თჳსი იგი ძლიერებისა ძლევაჲ მიჰმადლის ყოველთა, რომელნი ეძიებენ მას ერთითა გულითა."
20,"და არს დასაბამი ტანჯვათა მათ წმიდისა შუშანიკისთაჲ თთუესა აპნისისასა, მერვესა თთჳსასა და დღესა ოთხშაბათსა; და მეორედ გუემაჲ მისი შემდგომად აღუსებისა ზატიკსა, დღესა ორშაბათსა; და კუალად ტანჯვაჲ ვარდობისა თთუესა ათცხრამეტსა. და აღსრულებაჲ მისი თთუესა ოკდონბერსა ათჩჳდმეტსა, საჴსენებელსა წმიდათა მათ და სანატრელთა მოწამეთა კოზმან და დამიანჱსთა. და დღჱ ხუთშაბათი იყო, რომელსა განვაწესეთ საჴსენებელი წმიდისა შუშანიკისი სადიდებლად და საქებელად ღმრთისა, მამისა და ძისა და სულისა წმიდისა, რომლისა შუენის დიდებაჲ უკუნითი უკუნისამდე. ამჱნ."
